product,reviewer,city,state,rating,review,review_type
Black Pepper + Coriander,Sample Customer 001,Noida,Uttar Pradesh,5,The aroma was noticeable as soon as I opened the pack. Convenient combo when making gravies and marinades. The quality felt consistent across the pack.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 002,Ahmedabad,Gujarat,5,"I was mainly looking for a fresh spice and this did the job. Convenient combo when making gravies and marinades. Simple product, good flavour, and useful for daily meals.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 003,Kolkata,West Bengal,5,Tried this for the first time and the quality surprised me. The pepper and coriander flavours complement each other nicely. Used it in dal and sabzi and liked the result.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 004,Chennai,Tamil Nadu,5,"Packaging was neat and the product reached me in good condition. Convenient combo when making gravies and marinades. Simple product, good flavour, and useful for daily meals.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 005,Raipur,Chhattisgarh,5,I liked the freshness of the powder. Both spices are useful together for daily cooking. The quality felt consistent across the pack.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 006,Gurugram,Haryana,5,"I was mainly looking for a fresh spice and this did the job. Both spices are useful together for daily cooking. Simple product, good flavour, and useful for daily meals.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 007,Srinagar,Jammu & Kashmir,4,Tried this for the first time and the quality surprised me. Both spices are useful together for daily cooking. The quality felt consistent across the pack.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 008,Bhopal,Madhya Pradesh,5,Tried this for the first time and the quality surprised me. Convenient combo when making gravies and marinades. Happy with the first order.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 009,Hyderabad,Telangana,5,This has become a regular item in my kitchen. Both spices are useful together for daily cooking. Would consider ordering it again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 010,Goa,Goa,5,The aroma was noticeable as soon as I opened the pack. Both spices are useful together for daily cooking. I would be comfortable buying this again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 011,New Delhi,Delhi,3,"The pack was properly sealed and easy to store. Convenient combo when making gravies and marinades. Overall, a pleasant purchase.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 012,Jammu,Jammu & Kashmir,5,I have been using this in everyday cooking and it has worked well. The pepper and coriander flavours complement each other nicely. It worked nicely in home-style cooking.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 013,Indore,Madhya Pradesh,5,"The taste felt balanced in the dishes I made. Convenient combo when making gravies and marinades. Overall, a pleasant purchase.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 014,Bengaluru,Karnataka,4,"The flavour is quite natural and not overpowering. The pepper and coriander flavours complement each other nicely. Simple product, good flavour, and useful for daily meals.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 015,Visakhapatnam,Andhra Pradesh,5,"I was mainly looking for a fresh spice and this did the job. The pepper and coriander flavours complement each other nicely. Overall, a pleasant purchase.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 016,Jodhpur,Rajasthan,5,Packaging was neat and the product reached me in good condition. Both spices are useful together for daily cooking. Used it in dal and sabzi and liked the result.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 017,Shimla,Himachal Pradesh,5,The aroma was noticeable as soon as I opened the pack. Convenient combo when making gravies and marinades. Happy with the first order.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 018,Nagpur,Maharashtra,5,I have been using this in everyday cooking and it has worked well. The pepper and coriander flavours complement each other nicely. Happy with the first order.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 019,Guwahati,Assam,5,This has become a regular item in my kitchen. The pepper and coriander flavours complement each other nicely. Happy with the first order.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 020,Vijayawada,Andhra Pradesh,5,The aroma was noticeable as soon as I opened the pack. The pepper and coriander flavours complement each other nicely. I would be comfortable buying this again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 021,Jaipur,Rajasthan,4,"The aroma was noticeable as soon as I opened the pack. Both spices are useful together for daily cooking. So far, a good experience.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 022,Dehradun,Uttarakhand,3,"I liked the freshness of the powder. Convenient combo when making gravies and marinades. So far, a good experience.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 023,Pune,Maharashtra,5,Tried this for the first time and the quality surprised me. The pepper and coriander flavours complement each other nicely. I would be comfortable buying this again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 024,Patna,Bihar,5,Bought this along with a few other Dishu products. Convenient combo when making gravies and marinades. Would consider ordering it again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 025,Thiruvananthapuram,Kerala,5,Packaging was neat and the product reached me in good condition. The pepper and coriander flavours complement each other nicely. Used it in dal and sabzi and liked the result.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 026,Chandigarh,Chandigarh,5,Good option for everyday Indian cooking. Convenient combo when making gravies and marinades. The quality felt consistent across the pack.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 027,Varanasi,Uttar Pradesh,5,"Good option for everyday Indian cooking. The pepper and coriander flavours complement each other nicely. Overall, a pleasant purchase.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 028,Mumbai,Maharashtra,4,The pack was properly sealed and easy to store. Convenient combo when making gravies and marinades. Used it in dal and sabzi and liked the result.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 029,Ranchi,Jharkhand,5,"The flavour is quite natural and not overpowering. The pepper and coriander flavours complement each other nicely. Overall, a pleasant purchase.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 030,Kochi,Kerala,5,I have been using this in everyday cooking and it has worked well. The pepper and coriander flavours complement each other nicely. Good addition to the kitchen shelf.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 031,Ludhiana,Punjab,5,Tried this for the first time and the quality surprised me. Convenient combo when making gravies and marinades. The quality felt consistent across the pack.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 032,Lucknow,Uttar Pradesh,5,This has become a regular item in my kitchen. Convenient combo when making gravies and marinades. I would be comfortable buying this again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 033,Surat,Gujarat,3,"The taste felt balanced in the dishes I made. Both spices are useful together for daily cooking. Simple product, good flavour, and useful for daily meals.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 034,Bhubaneswar,Odisha,5,"Good option for everyday Indian cooking. Both spices are useful together for daily cooking. Simple product, good flavour, and useful for daily meals.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 035,Coimbatore,Tamil Nadu,4,"The taste felt balanced in the dishes I made. Both spices are useful together for daily cooking. Overall, a pleasant purchase.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 036,Amritsar,Punjab,5,"Bought this along with a few other Dishu products. The pepper and coriander flavours complement each other nicely. Simple product, good flavour, and useful for daily meals.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 037,Noida,Uttar Pradesh,5,"I liked the freshness of the powder. Convenient combo when making gravies and marinades. So far, a good experience.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 038,Ahmedabad,Gujarat,5,This has become a regular item in my kitchen. The pepper and coriander flavours complement each other nicely. I would be comfortable buying this again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 039,Kolkata,West Bengal,5,The taste felt balanced in the dishes I made. Both spices are useful together for daily cooking. It worked nicely in home-style cooking.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 040,Chennai,Tamil Nadu,5,"The pack was properly sealed and easy to store. The pepper and coriander flavours complement each other nicely. Overall, a pleasant purchase.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 041,Raipur,Chhattisgarh,5,The pack was properly sealed and easy to store. Convenient combo when making gravies and marinades. It worked nicely in home-style cooking.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 042,Gurugram,Haryana,4,The flavour is quite natural and not overpowering. The pepper and coriander flavours complement each other nicely. I would be comfortable buying this again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 043,Srinagar,Jammu & Kashmir,5,I liked the freshness of the powder. The pepper and coriander flavours complement each other nicely. Would consider ordering it again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 044,Bhopal,Madhya Pradesh,3,I was mainly looking for a fresh spice and this did the job. The pepper and coriander flavours complement each other nicely. The quality felt consistent across the pack.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 045,Hyderabad,Telangana,5,Tried this for the first time and the quality surprised me. The pepper and coriander flavours complement each other nicely. Would consider ordering it again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 046,Goa,Goa,5,"Packaging was neat and the product reached me in good condition. Both spices are useful together for daily cooking. Overall, a pleasant purchase.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 047,New Delhi,Delhi,5,"Good option for everyday Indian cooking. Both spices are useful together for daily cooking. Simple product, good flavour, and useful for daily meals.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 048,Jammu,Jammu & Kashmir,5,The taste felt balanced in the dishes I made. Convenient combo when making gravies and marinades. I would be comfortable buying this again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 049,Indore,Madhya Pradesh,4,The taste felt balanced in the dishes I made. Convenient combo when making gravies and marinades. Would consider ordering it again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 050,Bengaluru,Karnataka,5,Packaging was neat and the product reached me in good condition. Both spices are useful together for daily cooking. It worked nicely in home-style cooking.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 051,Visakhapatnam,Andhra Pradesh,5,"Tried this for the first time and the quality surprised me. Convenient combo when making gravies and marinades. So far, a good experience.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 052,Jodhpur,Rajasthan,5,I liked the freshness of the powder. Both spices are useful together for daily cooking. Happy with the first order.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 053,Shimla,Himachal Pradesh,5,Tried this for the first time and the quality surprised me. Convenient combo when making gravies and marinades. Would consider ordering it again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 054,Nagpur,Maharashtra,5,"I have been using this in everyday cooking and it has worked well. The pepper and coriander flavours complement each other nicely. Simple product, good flavour, and useful for daily meals.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 055,Guwahati,Assam,3,Tried this for the first time and the quality surprised me. The pepper and coriander flavours complement each other nicely. Would consider ordering it again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 056,Vijayawada,Andhra Pradesh,4,I was mainly looking for a fresh spice and this did the job. The pepper and coriander flavours complement each other nicely. The quality felt consistent across the pack.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 057,Jaipur,Rajasthan,5,I have been using this in everyday cooking and it has worked well. Both spices are useful together for daily cooking. Would consider ordering it again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 058,Dehradun,Uttarakhand,5,I have been using this in everyday cooking and it has worked well. The pepper and coriander flavours complement each other nicely. Good addition to the kitchen shelf.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 059,Pune,Maharashtra,5,"The flavour is quite natural and not overpowering. Both spices are useful together for daily cooking. Overall, a pleasant purchase.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 060,Patna,Bihar,5,The pack was properly sealed and easy to store. The pepper and coriander flavours complement each other nicely. It worked nicely in home-style cooking.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 061,Thiruvananthapuram,Kerala,5,I was mainly looking for a fresh spice and this did the job. The pepper and coriander flavours complement each other nicely. It worked nicely in home-style cooking.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 062,Chandigarh,Chandigarh,5,This has become a regular item in my kitchen. Convenient combo when making gravies and marinades. The quality felt consistent across the pack.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
