Area,Finding,"bluetea.co.in (reference)","dishumasala (current)",Severity,Verdict,"Recommended action"
Page rhythm,Homepage length,"6094px desktop / 7065px mobile","11012px desktop / 12632px mobile — 81% / 79% longer",High,GAP,"Cut to ~7500px desktop. The reference's premium feel is restraint; length is the single clearest divergence from CLAUDE.md's own stated quality bar"
Page rhythm,Homepage section count,"~7 real sections: hero, marquee, promo, product carousels, testimonials, story, footer","16 sections: TrustStrip, CategoryCircles, PromoBannerSlider, FounderStory, ScrollColorBand, BlueTeaBand, RedTeaSection, ScrollReveal, SpicesBanner, MasalaBand, ClassicAssamStrip, ComboValue, RitualTeaser, ReviewsEmptyState, CollectionFaq, NewsletterSection",High,GAP,"Merge or move 4-5 sections. FounderStory and RitualTeaser belong on an About page; CollectionFaq belongs on collection pages where it already lives"
Page rhythm,Time to first product,"Hero then immediately product cards","TrustStrip, CategoryCircles, hero banner, then a long FounderStory essay before any product",High,GAP,"Move FounderStory below the first product band. Nothing should sit between the hero and the first buyable thing"
Page rhythm,Full-bleed colour surfaces,"2 (blue hero, promo banner)","5+ (blue band, red/magenta band, cream, orange/red spices, dark chai photo)",High,GAP,"CLAUDE.md §5.4 banned 'more than one gradient surface in a single viewport' and has been amended twice to allow more. Reduce to the two pillar bands and let ivory carry the rest"
Consistency,Primary CTA treatment,"One treatment everywhere: full-width yellow filled 'Add to cart' with cart icon on every card","Four different treatments for the same intent: product card 'Quick add' (raw button, outline), PDP 'Add to cart' (Button gradient), checkout step (solid-ink), checkout final (gradient)",Critical,GAP,"Define one primary-action treatment and use it for every add-to-cart surface. This is the highest-value consistency fix in the audit"
Consistency,Product card CTA bypasses the design system,"n/a","components/product/ProductCard.tsx:228 hand-rolls a raw <button> with bespoke classes instead of using components/ui/Button",Critical,DEFECT,"Replace with <Button>. The raw button loses the system's focus ring, active:scale, sizing scale and loading state"
Consistency,Variant usage skew,"n/a","outline used 31x, gradient 15x, ghost 9x, link 1x — the weakest visual treatment is the most common, and carries Quick add",High,GAP,"Promote commerce actions to a filled treatment; reserve outline for genuinely secondary actions"
Consistency,Product image backgrounds,"Uniform: white or one brand blue behind every packshot","Bright red, maroon, dark red, orange, dark blue, white — each packshot sits on a different saturated block",Critical,GAP,"Normalise to one neutral ground. This is the biggest single reason their grid reads premium and ours reads busy"
Consistency,Card content parity,"Every card: image, name, MRP strike, 'From ₹X', stars, review count, benefit line, Add to cart","Multi-variant cards show no price and no option chip (deliberate client decision 2026-09-17), single-variant cards show both — ragged rows where they sit side by side",Medium,DECISION,"Client's call, already logged. Worth re-raising once: the reference solves the same problem with 'From ₹749.00', keeping price transparency without implying one price fits all packs"
Legibility,Justified body text,"Left-aligned throughout","app/globals.css sets p { text-align: justify } globally (client request)",High,DECISION,"Client's call, but at 390px with no hyphenation it produces severe rivers — visibly broken word spacing in FounderStory on mobile. Recommend justify on desktop only, or add hyphens:auto"
Legibility,Eyebrow labels,"No eyebrows; headings stand alone","Tracked-out ALL-CAPS eyebrow above most sections, plus middle-dot meta strings ('GIFTING · CORPORATE · BULK · FESTIVE')",Low,TENSION,"CLAUDE.md §5.3 defines the eyebrow role, so the constitution wins. Flagging only because both are classic templated-design tells; consider dropping the dot-joined string"
Motion,Competing motion systems,"One marquee, carousel transitions, nothing else","8 parallel systems: ScrollReveal (IntersectionObserver), card-in (CSS), FallingPetals (canvas), BlueVineBand, ScrollColorBand, MasalaBand, trust marquee, rotating gold best-value border, badge-pop",High,GAP,"Pick one signature motion moment and cut the rest. Scattered non-user-triggered motion is the clearest 'generated' tell and directly contradicts the restraint the reference is admired for"
Motion,FallingPetals renders as smudges,"n/a","20 particles at 14-28px (10-20px mobile) and 0.4-0.7 opacity, drawn from a 638x841 detailed flower illustration — reads as grey-purple blobs scattered over the product title, 'In stock' and the pincode box",High,DEFECT,"Either use a simple high-contrast silhouette sized for 14-28px, or remove. A detailed illustration cannot survive that reduction"
Motion,Petal assets duplicated,"n/a","public/petals/petal-1/2/3.png are three identical copies of one 395KB file — 1.2MB of decorative payload per PDP, and the component's random-variety design has nothing to vary",High,DEFECT,"Ship three genuinely different silhouettes at a fraction of the weight, or drop to one"
Motion,Dead CSS,"n/a","@keyframes float-spice in globals.css references components/sections/FloatingSpiceVectors.tsx, which was deleted",Low,DEFECT,"Remove the keyframes block and its comment"
Trust,Unverifiable customer claim,"'30 Lakh + Happy Customers' (their own claim)","TrustStrip says 'Thousands of happy customers' while the site has zero approved reviews",High,DEFECT,"CLAUDE.md §8 forbids invented customer counts. Replace with a verifiable claim (double-layer packaging, sourced in Punjab, COD available) until real numbers exist"
Trust,Conflicting offers on one screen,"One consistent offer in the announcement bar","Announcement bar offers WELCOME5 for 5% off; the popup offers 10% off — both visible within 5 seconds",High,DEFECT,"Pick one first-order offer. Two competing numbers read as untrustworthy and train shoppers to hunt for a better code"
Trust,Duplicated shipping claim,"Stated once","'Free shipping over ₹500' appears in the gold announcement bar and again in the blue TrustStrip directly beneath it",Medium,DEFECT,"Remove one. Adjacent repetition wastes the most valuable strip on the page"
Trust,Social proof on cards,"Every card carries star rating and review count (e.g. 4.5 stars, 1088)","No rating on any card; PDP shows 'No reviews yet' as the second line under the title",High,GAP,"Not a design fix — needs review volume. Until then consider moving 'No reviews yet' below the fold rather than directly under the product name"
