#,Source,Item,"What it needs",Blocker,Priority
1,"Client bug list row 20-25","Blue Tea PDP description — 'Belly Fat' positioning","Replace the Blue Tea description with the client's supplied copy: 'Belly Fat is a potent blend of Butterfly Pea, Lemongrass, Ginger, and Spearmint that boosts metabolism, burns fat, reduces bloating, and aids digestion' plus the four benefit bullets and the 'keto-friendly / 3 times a day' closing line","NEEDS YOUR CONFIRMATION — these are health and slimming claims. CLAUDE.md §8 bans us inventing them but explicitly allows them when the client supplies them in writing, which they now have, so the project rule is satisfied. The separate issue is regulatory: India's FSSAI Advertising and Claims Regulations 2018 restrict slimming and health claims on food and normally require substantiation. Confirm the client accepts that risk and I will implement it exactly as written",High
2,"Client bug list sheet 2","Four new combo products","Blue Tea+Red Tea loose (52gm ₹558 / 105gm ₹1048), Blue+Red teabags (72 bags ₹698), 2x Blue Tea (52gm ₹598 / 105gm ₹1098), 2x Red Tea (52gm ₹518 / 105gm ₹998). All are mrp = selling price, so no Save % chip will render, which is already handled correctly","Product images — the sheet itself says 'images to be created'. I can seed the products as drafts with placeholders now and publish once art arrives",High
3,"Client bug list row 3","Benefit marquee below the tea category banners","Second scrolling line: No preservatives / Plant-Based Teabags / Zero Caffeine / Farm-fresh Quality / All Natural, placed below the Blue Tea and Red Tea category banners","None — ready to build. MarqueeStrip already exists and is reusable",Medium
4,"Client bug list rows 8-11","Red Tea and Spices banners, plus two 'delete this picture' items","Make the Red Tea and Spices banners match the Blue Tea banner treatment; fix the '100% Organic · Stone Ground · Zero Preservatives' line animation; delete two specific pictures","NEEDS CLARIFICATION — the spreadsheet rows point at screenshots I cannot see, so I cannot tell which two pictures to delete or what 'correct this line animation' should look like. Point me at them and these are quick",Medium
5,"Client bug list row 7","Black Tea category icon","Recreate the icon for the renamed Black Tea category","Blocked on the same missing source images as item 6 below",Medium
6,"Own audit","Category circles are empty grey discs","scripts/migrate-category-circles.ts reads from ~/Downloads/category/1.png..5.png — a path outside the repo. It cannot work on this machine, any other machine, or CI","Needs the five category photos moved into data/ and the script repointed. This is why the circles render grey right now",High
7,"Client bug list row 15","Blue Tea collection — banner to top","Bring the banner to the top of the Blue Tea collection page and use the butterfly 'M' image sent on WhatsApp","Needs the image — it is not in the repo",Medium
8,"Client bug list row 28","Coupons on the buy button","Show applicable coupons on the PDP buy button area","None — ready to build once the display rule is agreed (all active coupons, or a specific one)",Medium
9,"Client bug list rows 30-32","Suggested Items / Related Products / Free Gifts","Standardise these three rails across product pages, same as Blue Tea","Partly exists — 'You may also like' is already on the PDP. Needs the other two and one consistent treatment",Medium
10,"Own audit","Product image backgrounds","Packshots sit on bright red, maroon, dark red, orange, dark blue and white grounds. This is the single biggest reason the grid reads busy next to bluetea.co.in's uniform white","Needs a decision: normalise to one neutral ground (re-export or mask the packshots), or accept as-is",High
11,"Own audit","Entry popup covers the mobile hero","PhoneCapturePopup opens 5.5s in and occupies almost the whole first viewport on a 390px screen","Needs a decision: move to scroll-depth or exit-intent, and never full-cover the hero on mobile",High
12,"Own audit","Homepage length","Still 10,241px desktop / 12,054px mobile after the spacing pass, against bluetea.co.in's 6,094 / 7,065","Spacing alone cannot close this — it needs sections moved or merged (FounderStory and RitualTeaser would sit naturally on an About page). That is a structural call, not a CSS one",Medium
13,"Own audit","Competing motion systems","Eight parallel systems: ScrollReveal, card-in, FallingPetals, BlueVineBand, ScrollColorBand, MasalaBand, trust marquee, rotating gold best-value border","Needs a decision on which single signature moment to keep",Medium
14,"Own audit","Petal assets","public/petals/petal-1/2/3.png are three identical copies of one 395KB file — 1.2MB with nothing to vary","Needs three real silhouettes, or drop to one, before the animation is reused on the collection page",Low
15,"Own audit","migrate-corporate-gifting-hero not registered","The script exists but has no package.json entry, so pnpm cannot run it — I had to invoke tsx directly","Trivial: add it alongside the other migrate-* entries",Low
16,"Previous session","Analytics work was overwritten","GTM/GA4, Meta Pixel + Conversions API, and the ecommerce event layer I built last turn were replaced when the new code landed. lib/meta-pixel.ts and app/api/track/ now exist in their place","Needs a review of what the new tracking covers before I rebuild anything, so we do not end up with two systems",High
