#,Source,Area,"What changed","File / place","Before","After",Status
1,"Client bug list row 2","Trust strip","Added the fifth trust item the client asked for","components/layout/TrustStrip.tsx","4 items: double-layer packaging, free shipping, free gift, thousands of happy customers","5 items — added 'Sourced from the best specified areas' with a new leaf/origin icon",DONE
2,"Client bug list row 2","Trust strip","Made it one continuously scrolling single line at every viewport","components/layout/TrustStrip.tsx","Desktop was a static centered row; only mobile scrolled. A fifth item would have wrapped the desktop row","Single marquee line on mobile and desktop both, as asked. Items can now be added without re-tuning the layout",DONE
3,"Client bug list row 2","Settings","Free-shipping threshold set to the client's number","settings.free_shipping_threshold_paise (DB)","₹500 (50000 paise)","₹499 (49900 paise)",DONE
4,"Client bug list row 2","Settings","Free-gift threshold created — the key did not exist, so the gift row never rendered","settings.free_gift_threshold_paise (DB)","absent — trust strip silently dropped the free-gift item","₹699 (69900 paise), gift item now renders",DONE
5,"Own audit","Offers","Removed the conflicting coupon advertisement from the top strip","components/layout/HeaderClient.tsx","Strip advertised WELCOME5 at 5% off first order while the popup offered 10% off — both visible within 5.5s","Strip carries the shipping threshold only. Both coupons still exist and still work",DONE
6,"Own audit","Commerce — live bug","Created the coupon the popup promises","scripts/add-lucky10-coupon.ts (run)","PhoneCapturePopup promised 10% off with code LUCKY10, but LUCKY10 was not in the coupons table — every shopper who entered their phone number got an invalid code at checkout","LUCKY10 exists: 10% off, first order only, active",DONE
7,"Client bug list row 17","PDP","Removed the butterfly/petal animation from the product page","app/product/[slug]/page.tsx","FallingPetals + BlueVineBand rendered fixed over the whole PDP","Removed. Components kept for reuse on the Blue Tea collection entrance, where the client says it belongs",DONE
8,"Own audit","PDP","Diagnosed why the animation looked broken (recorded for when it is reused)","components/pdp/FallingPetals.tsx","20 particles at 14-28px (10-20px mobile) and 0.4-0.7 opacity drawn from a 638x841 detailed flower illustration — read as grey smudges over the product title, stock line and pincode field","Documented in the removal comment. Needs a simple silhouette sized for 14-28px before reuse",DONE
9,"Client bug list row 4","Home","Increased the category circle size","components/sections/CategoryCircles.tsx","96px mobile / 112px sm / 128px lg","112px mobile / 128px sm / 144px lg. Mobile gap tightened to gap-x-2 so three columns still fit at 390px without overflow",DONE
10,"Client bug list row 6","Home","Renamed the category label","app/page.tsx","'Assam Tea'","'Black Tea'. Collection slug and DB title unchanged — display label only. Both products behind it are black teas",DONE
11,"Client bug list row 14","Home","Deleted the subscribe-now section","app/page.tsx","Full-width NewsletterSection block at the bottom of the homepage","Removed. Footer signup and the newsletter_subs capture path are both untouched, so the list itself is not lost",DONE
12,"User ask — no extra wide spaces","Design system","Added one shared section-spacing scale","lib/design-tokens.ts","Five competing rhythms across the homepage: py-32, py-24, py-20, py-16, py-14, py-10","SECTION_SPACING with three steps — COMPACT / SECTION / BAND — mobile-first, documented, greppable",DONE
13,"User ask — no extra wide spaces","Home sections","Applied the scale to the three full-bleed colour bands","BlueTeaBand.tsx, RedTeaSection.tsx, MasalaBand.tsx","py-20 / sm:py-28 / lg:py-32 — 256px of vertical padding per band at desktop, which is where the large empty runs of colour came from","py-14 / sm:py-16 / lg:py-20",DONE
